symbol,pair,contractType,deliveryDate,onboardDate,status,maintMarginPercent,requiredMarginPercent,baseAsset,quoteAsset,marginAsset,pricePrecision,quantityPrecision,baseAssetPrecision,quotePrecision,underlyingType,underlyingSubType,triggerProtect,liquidationFee,marketTakeBound,maxMoveOrderLimit,filters,orderTypes,timeInForce
BTCUSDT,BTCUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,BTC,USDT,USDT,2,3,8,8,COIN,['PoW'],0.0500,0.012500,0.05,10000,"[{'maxPrice': '4529764', 'minPrice': '556.80', 'tickSize': '0.10', 'filterType': 'PRICE_FILTER'}, {'stepSize': '0.001', 'maxQty': '1000', 'minQty': '0.001', 'filterType': 'LOT_SIZE'}, {'filterType': 'MARKET_LOT_SIZE', 'minQty': '0.001', 'maxQty': '120', 'stepSize': '0.001'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'filterType': 'MIN_NOTIONAL', 'notional': '100'}, {'filterType': 'PERCENT_PRICE', 'multiplierDown': '0.9500', 'multiplierDecimal': '4', 'multiplierUp': '1.0500'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
ETHUSDT,ETHUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,ETH,USDT,USDT,2,3,8,8,COIN,['Layer-1'],0.0500,0.012500,0.05,10000,"[{'maxPrice': '306177', 'minPrice': '39.86', 'filterType': 'PRICE_FILTER', 'tickSize': '0.01'}, {'minQty': '0.001', 'stepSize': '0.001', 'filterType': 'LOT_SIZE', 'maxQty': '10000'}, {'maxQty': '2000', 'minQty': '0.001', 'filterType': 'MARKET_LOT_SIZE', 'stepSize': '0.001'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'filterType': 'MIN_NOTIONAL', 'notional': '20'}, {'filterType': 'PERCENT_PRICE', 'multiplierDecimal': '4', 'multiplierDown': '0.9500', 'multiplierUp': '1.0500'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
BCHUSDT,BCHUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,BCH,USDT,USDT,2,3,8,8,COIN,['PoW'],0.0500,0.015000,0.05,10000,"[{'filterType': 'PRICE_FILTER', 'minPrice': '13.93', 'tickSize': '0.01', 'maxPrice': '100000'}, {'minQty': '0.001', 'maxQty': '10000', 'filterType': 'LOT_SIZE', 'stepSize': '0.001'}, {'filterType': 'MARKET_LOT_SIZE', 'minQty': '0.001', 'maxQty': '850', 'stepSize': '0.001'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'notional': '20', 'filterType': 'MIN_NOTIONAL'}, {'multiplierUp': '1.0500', 'multiplierDown': '0.9500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
XRPUSDT,XRPUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,XRP,USDT,USDT,4,1,8,8,COIN,['Payment'],0.0500,0.012500,0.05,10000,"[{'filterType': 'PRICE_FILTER', 'minPrice': '0.0143', 'maxPrice': '100000', 'tickSize': '0.0001'}, {'filterType': 'LOT_SIZE', 'maxQty': '10000000', 'stepSize': '0.1', 'minQty': '0.1'}, {'filterType': 'MARKET_LOT_SIZE', 'maxQty': '2000000', 'stepSize': '0.1', 'minQty': '0.1'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE', 'multiplierDown': '0.9500'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
EOSUSDT,EOSUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,EOS,USDT,USDT,3,1,8,8,COIN,['Layer-1'],0.1000,0.010000,0.10,10000,"[{'tickSize': '0.001', 'filterType': 'PRICE_FILTER', 'minPrice': '0.111', 'maxPrice': '100000'}, {'stepSize': '0.1', 'maxQty': '1000000', 'filterType': 'LOT_SIZE', 'minQty': '0.1'}, {'filterType': 'MARKET_LOT_SIZE', 'minQty': '0.1', 'maxQty': '120000', 'stepSize': '0.1'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'filterType': 'MIN_NOTIONAL', 'notional': '5'}, {'multiplierUp': '1.1000', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE', 'multiplierDown': '0.9000'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
LTCUSDT,LTCUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,LTC,USDT,USDT,2,3,8,8,COIN,['PoW'],0.0500,0.015000,0.05,10000,"[{'maxPrice': '100000', 'minPrice': '3.61', 'filterType': 'PRICE_FILTER', 'tickSize': '0.01'}, {'minQty': '0.001', 'maxQty': '10000', 'stepSize': '0.001', 'filterType': 'LOT_SIZE'}, {'minQty': '0.001', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '5000', 'stepSize': '0.001'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'filterType': 'MIN_NOTIONAL', 'notional': '20'}, {'multiplierUp': '1.0500', 'filterType': 'PERCENT_PRICE', 'multiplierDown': '0.9500', 'multiplierDecimal': '4'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
TRXUSDT,TRXUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,TRX,USDT,USDT,5,0,8,8,COIN,['Layer-1'],0.0500,0.010000,0.05,10000,"[{'filterType': 'PRICE_FILTER', 'maxPrice': '20000', 'tickSize': '0.00001', 'minPrice': '0.00132'}, {'filterType': 'LOT_SIZE', 'minQty': '1', 'stepSize': '1', 'maxQty': '10000000'}, {'minQty': '1', 'stepSize': '1', 'maxQty': '5000000', 'filterType': 'MARKET_LOT_SIZE'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE', 'multiplierDown': '0.9500', 'multiplierUp': '1.0500'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
ETCUSDT,ETCUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,ETC,USDT,USDT,3,2,8,8,COIN,['Layer-1'],0.1000,0.015000,0.10,10000,"[{'minPrice': '1.051', 'filterType': 'PRICE_FILTER', 'maxPrice': '100000', 'tickSize': '0.001'}, {'maxQty': '100000', 'stepSize': '0.01', 'minQty': '0.01', 'filterType': 'LOT_SIZE'}, {'filterType': 'MARKET_LOT_SIZE', 'maxQty': '10000', 'minQty': '0.01', 'stepSize': '0.01'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'filterType': 'MIN_NOTIONAL', 'notional': '20'}, {'multiplierUp': '1.1000', 'multiplierDecimal': '4', 'multiplierDown': '0.9000', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
LINKUSDT,LINKUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,LINK,USDT,USDT,3,2,8,8,COIN,['Oracle'],0.1000,0.015000,0.10,10000,"[{'filterType': 'PRICE_FILTER', 'maxPrice': '100000', 'tickSize': '0.001', 'minPrice': '0.464'}, {'filterType': 'LOT_SIZE', 'minQty': '0.01', 'maxQty': '200000', 'stepSize': '0.01'}, {'stepSize': '0.01', 'maxQty': '20000', 'minQty': '0.01', 'filterType': 'MARKET_LOT_SIZE'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'filterType': 'MIN_NOTIONAL', 'notional': '20'}, {'filterType': 'PERCENT_PRICE', 'multiplierUp': '1.1000', 'multiplierDown': '0.9000', 'multiplierDecimal': '4'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
XLMUSDT,XLMUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,XLM,USDT,USDT,5,0,8,8,COIN,['Layer-2'],0.0500,0.010000,0.05,10000,"[{'maxPrice': '20000', 'filterType': 'PRICE_FILTER', 'minPrice': '0.00648', 'tickSize': '0.00001'}, {'stepSize': '1', 'minQty': '1', 'maxQty': '10000000', 'filterType': 'LOT_SIZE'}, {'maxQty': '1000000', 'minQty': '1', 'filterType': 'MARKET_LOT_SIZE', 'stepSize': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'filterType': 'MIN_NOTIONAL', 'notional': '5'}, {'multiplierDecimal': '4', 'multiplierUp': '1.0500', 'filterType': 'PERCENT_PRICE', 'multiplierDown': '0.9500'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
